File,Equipment ID,Loop/Stream ID,Description,Location
973011021C.dxf,021-E-1,,21,"(42.0, 468.0, 0.0)"
973011111C.dxf,111-E-15,P003,"WATER WASH PUMP, IN, Z, BMS, OUT, 111, HEAD, 6B, FLOW","(516.0, 141.0, 0.0)"
973011111C.dxf,973011111-E-16,T001,"OF_LEVEL, TOPT, CONS, 973011111, DIAM, FEEDWATER TANK, HEIGHT, TIME, 6B, VOL","(306.0, 234.0, 0.0)"
973011111C.dxf,973011111-E-17,M002,"973011111, 6B, DAERATOR, 111","(417.0, 294.0, 0.0)"
973011111C.dxf,973011111-E-18,P003-M01,"WATER WASH PUMP, 973011111, 111, 6B","(474.0, 138.0, 0.0)"
973011121C.dxf,021-E-12,W006,"121, 6B, DESUPERHEATER, 021","(248.48, 474.38, 0.0)"
973011121C.dxf,973011121A-E-18,,"973011121A, FW VALVE TURBINE PUMP, 6B-HV-1205","(383.36, 129.44, 0.0)"
973011121C.dxf,973011121A-E-19,,"973011121A, FW VALVE TURBINE PUMP, 6B-HV-1205-M01, 121, 6B","(315.0, 90.0, 0.0)"
973011121C.dxf,973011121A-E-20,,"973011121A, 6B-HV-1215","(393.0, 159.0, 0.0)"
973011121C.dxf,973011121A-E-21,,"6B-HV-1215-M01, 973011121A, 121, 6B, FW VALVE PUMP 2","(380.34, 163.72, 0.0)"
973011121C.dxf,973011121A-E-23,,"6B-HV-1225, 973011121A, FW VALVE PUMP 3","(455.24, 189.36, 0.0)"
973011121C.dxf,973011121A-E-24,,"973011121A, 121, FW VALVE PUMP 3, 6B, 6B-HV-1225-M01","(457.67, 202.32, 0.0)"
973011171C.dxf,X171-E-166.04,"M017, X171","166.04, 171, 6B, AIR VENTING","(292.06, 355.7, 0.0)"
973011171C.dxf,X171-E-122.02,"M012, X171","122.02, 171, 6B, ECONOMIZER II","(537.0, 290.44, 0.0)"
973011171C.dxf,X171-E-122.01,"M011, X171","171, 6B, ECONOMIZER I, 122.01","(365.95, 284.3, 0.0)"
973011171C.dxf,171-E-18,M013,"171, 6B, DOLEZAL","(585.0, 396.0, 0.0)"
973011171C.dxf,X171-E-101.01,"T015, X171","STEAM DRUM, 6B, OF_LEVEL","(621.0, 543.0, 0.0)"
973011171C.dxf,973011171A-E-20,,"6B-HV-1707, 171, Filling valve, 973011171A, 6B","(220.46, -24.01, 0.0)"
973011171C.dxf,973011171A-E-21,,"171, 973011171A, 6B, 6B-HV-1705, FW Valve","(270.09, -21.82, 0.0)"
973011171C.dxf,973011171A-E-22,,"6B-HV-1705-M01, 171, FW valve, 973011171A, 6B","(312.41, -30.58, 0.0)"
973011171C.dxf,973011171A-E-23,,"171, Filling valve, 973011171A, 6B-HV-1707-M01, 6B","(292.57, -27.66, 0.0)"
973011181C.dxf,121-E-119.01,,"121, 119.01, BOILER BANK MAIN INLET HEADER","(360.27, 222.19, 0.0)"
973011181C.dxf,121-E-113.01,,"121, BOILER BANK, 113.01","(360.27, 249.19, 0.0)"
973011181C.dxf,121-E-112.06,,"121, FURNACE BOTTOM, 112.06","(363.34, 102.73, 0.0)"
973011181C.dxf,121-E-118.01,,"121, MAIN INLET HEADER","(367.48, 121.47, 0.0)"
973011181C.dxf,121-E-110.01,M019,"110.01, FURNACE, 121, 181, 6B","(366.43, 162.4, 0.0)"
973011181C.dxf,X171-E-101.01,"T015, X171","STEAM DRUM, 6B, OF_LEVEL","(411.0, 423.0, 0.0)"
